Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
439,-106.2183287,41.21221475,0,0,0,0
440,-106.5357396,41.39642369,0,0,0,0
441,-107.3321905,41.28464088,0,0,0,0
442,-106.7234023,41.16347677,0,0,0,0
443,-106.2182239,41.27680253,0,0,0,0
444,-106.8828088,41.32167172,0,0,0,0
445,-106.9924923,40.90855077,0,0,0,0
446,-107.0626052,40.74404935,0,0,0,0
447,-107.1239797,41.32444124,0,0,0,0
448,-106.8708632,40.65235361,0,0,0,0
449,-106.5974769,40.80455157,0,0,0,0
450,-107.0260846,41.00371601,0,0,0,0
451,-106.5565489,40.58451145,0,0,0,0
452,-106.3295344,40.98582586,0,0,0,0
453,-107.2501152,41.31301852,0,0,0,0
454,-106.4211248,40.69663191,0,0,0,0
455,-106.5252362,40.69113613,0,0,0,0
456,-106.7642466,41.22745096,0,0,0,0
457,-106.1670961,41.22159527,0,0,0,0
458,-107.2391147,40.70112026,0,0,0,0
459,-106.5978781,41.05358501,2018,274,0,0
460,-107.086369,41.47916439,0,0,0,0
461,-107.3240443,40.76042073,0,0,0,0
462,-106.6244746,41.11799538,0,0,0,0
463,-106.2861568,41.2665792,0,0,0,0
464,-106.6566364,41.20917525,0,0,0,0
465,-106.2874953,41.18101016,2017,198,0,0
466,-107.1003513,40.74821099,0,0,0,0
467,-106.5798346,41.50023421,2016,308,0,0
468,-107.1424857,40.81444443,0,0,0,0
469,-106.9887232,40.67356998,0,0,0,0
470,-107.3591133,41.24383136,0,0,0,0
471,-106.4612998,40.89376686,0,0,0,0
472,-106.1437455,41.31537022,0,0,0,0
473,-106.4004492,40.92884751,2016,220,0,0
474,-106.4018706,41.46670676,0,0,0,0
475,-106.6602701,40.58622393,0,0,0,0
476,-107.006143,40.93168613,0,0,0,0
477,-107.0612796,41.15325833,0,0,0,0
478,-107.0180648,41.50136511,0,0,0,0
479,-106.1188816,40.7001518,0,0,0,0
480,-107.0729261,40.93682594,0,0,0,0
481,-106.6693314,40.70307003,0,0,0,0
482,-107.1093226,41.03347092,0,0,0,0
483,-106.8255148,41.52686982,0,0,0,0
484,-107.1774677,40.624533,0,0,0,0
485,-106.8905037,41.12964179,0,0,0,0
486,-106.3404884,40.82095017,0,0,0,0
487,-106.3270218,41.39285988,0,0,0,0
488,-106.1963176,40.74101818,0,0,0,0
489,-106.663874,40.6423939,0,0,0,0
490,-106.3081461,40.77648783,0,0,0,0
491,-106.4501801,40.79526983,0,0,0,0
492,-107.3227899,41.12715026,0,0,0,0
493,-107.1796086,40.83811147,0,0,0,0
494,-107.0706733,40.97432473,0,0,0,0
